Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption,High_Usage,Efficiency_Category
5,10,15.94,5,0.2,6.18,Weekday,251.05,333.74,0,Low
3,15,18.2,9,0.89,3.27,Weekday,262.77,272.42,0,Low
1,6,34.14,8,0.11,8.1,Weekday,339.61,331.61,0,Low
6,23,15.0,9,0.0,6.7,Weekend,98.63,325.67,0,Low
4,23,25.41,3,0.5,4.41,Weekday,246.31,317.95,0,Low
6,9,28.06,7,0.58,3.77,Weekend,487.38,429.6,1,Medium
2,23,16.37,9,0.58,5.68,Weekday,66.9,209.72,0,Low
2,6,39.33,2,0.05,8.86,Weekday,192.2,306.97,0,Low
5,14,20.65,2,0.31,9.06,Weekend,191.35,323.97,0,Low
3,6,22.6,7,0.5,7.22,Weekday,335.06,319.2,0,Low
2,15,22.6,4,0.22,8.09,Weekday,97.61,215.3,0,Low
1,22,20.76,2,0.87,3.81,Weekday,332.84,302.59,0,Low
6,19,15.04,9,0.09,7.12,Weekday,92.77,314.88,0,Low
6,13,33.23,10,0.49,7.67,Weekday,92.73,339.12,0,Low
5,23,39.17,0,0.69,4.4,Weekday,377.68,418.86,1,Medium
4,13,20.61,2,0.26,9.16,Weekend,195.86,263.22,0,Low
5,7,31.58,11,0.62,4.36,Weekend,489.84,489.71,1,Medium
4,13,33.55,8,0.83,5.19,Weekend,66.81,223.98,0,Low
5,18,36.21,4,0.19,7.34,Weekday,250.3,407.16,1,Medium
5,23,25.57,11,0.92,7.47,Weekday,100.91,316.22,0,Low
5,11,22.57,9,0.55,7.9,Weekday,208.12,332.12,0,Low
4,20,23.13,1,0.3,3.78,Weekend,499.2,464.32,1,Medium
4,20,32.82,6,0.43,8.95,Weekday,449.98,490.02,1,Medium
5,5,35.42,1,0.31,6.73,Weekend,71.75,242.87,0,Low
2,8,19.54,3,0.73,6.3,Weekday,303.47,172.81,0,Low
3,8,24.27,11,0.8,9.87,Weekday,341.52,279.65,0,Low
3,11,37.55,6,0.83,8.18,Weekday,144.29,259.64,0,Low
3,12,35.17,3,0.99,3.83,Weekend,115.3,179.51,0,Low
4,21,39.62,6,0.79,8.3,Weekday,456.97,487.94,1,Medium
4,9,33.86,6,0.6,3.67,Weekend,485.97,438.83,1,Medium
2,11,24.83,0,0.34,3.19,Weekday,496.35,407.97,1,Medium
3,24,29.77,5,0.54,5.83,Weekday,405.39,410.73,1,Medium
3,24,31.53,8,0.04,9.96,Weekend,348.58,484.76,1,Medium
5,8,16.96,1,0.74,4.22,Weekday,205.58,222.36,0,Low
4,10,28.61,2,0.45,7.71,Weekday,127.13,226.6,0,Low
3,11,32.73,9,0.02,4.21,Weekday,85.54,274.02,0,Low
6,22,19.18,4,0.06,8.07,Weekday,361.98,483.08,1,Medium
2,9,34.52,8,0.39,6.54,Weekend,403.13,395.72,0,Low
6,24,29.59,3,0.58,7.76,Weekend,421.9,494.99,1,Medium
6,7,38.81,0,0.46,4.42,Weekday,461.19,457.92,1,Medium
2,11,16.06,3,0.62,8.22,Weekday,445.97,306.2,0,Low
6,18,21.63,5,0.48,9.97,Weekend,499.88,488.19,1,Medium
3,11,30.04,4,0.66,7.66,Weekday,159.83,219.19,0,Low
4,9,22.41,0,0.22,6.45,Weekend,393.49,356.6,0,Low
2,9,32.86,3,0.11,9.46,Weekday,313.91,353.43,0,Low
5,6,33.98,5,0.6,3.11,Weekend,167.56,289.85,0,Low
6,10,17.56,9,0.48,8.11,Weekend,491.86,431.09,1,Medium
2,19,27.85,9,0.03,9.22,Weekend,454.05,460.65,1,Medium
1,14,27.72,3,0.38,3.43,Weekend,107.83,186.87,0,Low
1,11,24.23,8,0.11,6.15,Weekday,61.77,198.29,0,Low
4,9,38.32,4,0.53,4.43,Weekday,359.75,349.17,0,Low
3,5,35.69,7,0.4,6.97,Weekend,321.86,323.42,0,Low
4,17,32.43,8,0.61,7.55,Weekend,471.12,441.14,1,Medium
